"Operator","Pics.Batch","Sample","ImageTitle","Status","CellLine","Day","Treatment","Volume","ESR","SurfaceArea","Flatness","Elongation","Sphericity","IntensityRHF","VolumeRHF","NbCc","VCcMean","VCcTotal","DistanceBorderToBorderMean","DistanceBarycenterToBorderMean","AspectRatio","Circularity","VoxelVolume","MinIntensityNuc","MaxIntensityNuc","AvgIntensityNuc","StdIntensityNuc"
"SA","1","102_CS_63x_tile_z1","28_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","727.505","5.57933524657142","718.25999999974","2.8655083679978","1.42430634159883","0.161539708509265","0.100438551108606","0.0414567597473556","59","0.511186440677966","30.1599999999999","0.596011078761796","1.37840351128982","1.41517017515532","0.79302496862024","0.005","1","115","16.8046748819595","12.5383153968455"
"SA","1","102_CS_63x_tile_z1","29_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","943.75","6.08493745249202","1004.91999999948","2.40680647215287","1.58435898321652","0.0992594429794776","0.10830861368461","0.0337165562913907","69","0.461159420289855","31.82","0.861241733682328","1.63518753604612","1.55156647419366","0.495733678805785","0.005","0","76","7.537059602649","6.67563994293254"
"SA","1","102_CS_63x_tile_z1","30_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","513.945","4.9690802660267","578.699999999847","3.00212659203738","1.22304055299574","0.154143500386013","0.0837939406462277","0.0325423926684762","28","0.597321428571428","16.725","0.588194348556654","1.54665052209581","1.22012861051405","0.824100063576273","0.005","1","86","15.0665927287939","10.4275553371025"
"SA","1","102_CS_63x_tile_z1","31_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","732.78","5.59278768366676","759.539999999725","2.64178532826476","1.2487185435004","0.138595023895367","0.0718014937244245","0.0283714075165807","31","0.670645161290322","20.79","0.747050403779552","1.60353519070533","1.23598076544695","0.781814094139798","0.005","1","85","15.0387633396107","11.4115504905996"
"SA","1","102_CS_63x_tile_z1","32_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","684.96","5.46838227670435","729.47999999972","3.16867064747361","1.30367658730287","0.136691851515716","0.0685846321080539","0.029461574398505","44","0.458636363636363","20.18","0.639923629977486","1.48529928164048","1.29336568050901","0.808779615985321","0.005","1","72","13.148570719458","9.79356870978672"
"SA","1","102_CS_63x_tile_z1","33_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","643.17","5.35483043658398","683.839999999771","2.76782363426789","1.23423036590718","0.146298687525489","0.0846660298798397","0.035021844924359","36","0.625694444444444","22.525","0.714799313412772","1.53267866373062","1.21626192156294","0.7954116401462","0.005","1","80","15.1869490181445","11.6585956368284"
"SA","1","102_CS_63x_tile_z1","34_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","640.7","5.34796682935517","653.319999999811","2.59600819407228","1.19178607966682","0.166488392957518","0.0927786197824067","0.0372171062899953","40","0.596125","23.845","0.889982395768165","1.67540171384811","1.17543990909819","0.832658348111354","0.005","0","63","11.5442016544404","9.54724878461435"
"SA","1","102_CS_63x_tile_z1","35_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","598.945","5.22917020721007","701.519999999749","2.668268137777","1.6077458843059","0.117518459488638","0.0848981614345146","0.0327909908255349","43","0.456744186046511","19.64","0.564685666838357","1.45306154406347","1.59722641872567","0.686960989396054","0.005","0","65","11.321289934802","7.7522836794263"
"SA","1","102_CS_63x_tile_z1","36_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","423.405","4.6582464071205","550.43999999987","2.69575676495624","1.57955328164317","0.121572229020888","0.0920595418140886","0.0438114807335765","43","0.431395348837209","18.5499999999999","0.393950184278709","1.27450552652048","1.53045938170611","0.726763894417433","0.005","1","55","11.9387702081931","7.40050803475927"
"SA","1","102_CS_63x_tile_z1","37_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","677.935","5.44962328869408","719.87999999975","2.22721779749456","1.57417530933869","0.139331130678727","0.113650577901867","0.0350623584856955","40","0.59425","23.77","0.677606636881828","1.41458834648132","1.57355205182736","0.704684384472238","0.005","0","95","11.0259611909696","9.19336840511345"
